date,wheat_ton_per_hectare,csi,effective_yield
1950-03-01,0.67,0.0,0.0
1950-03-06,0.67,0.9370266439430036,0.6278078514418125
1950-03-11,0.67,0.9161713496490084,0.6138348042648356
1950-03-16,0.67,0.889225784392806,0.5957812755431801
1950-03-21,0.67,0.8549898322377053,0.5728431875992626
1950-03-26,0.67,0.8124051044248047,0.5443114199646192
1950-03-31,0.67,0.7608131695210789,0.5097448235791229
1950-04-05,0.67,0.7002673811769148,0.46917914538853295
1950-04-10,0.67,0.6318124177361018,0.4233143198831882
1950-04-15,0.67,0.5576002866917077,0.3735921920834442
1950-04-20,0.67,0.4807238441660136,0.3220849755912291
1950-04-25,0.67,0.4047494234836476,0.27118211373404394
1950-04-30,0.67,0.3330803738665238,0.22316385049057094
1950-05-05,0.67,0.2683800439742322,0.1798146294627356
1950-05-10,0.67,0.2122478906161481,0.14220608671281923
1950-05-15,0.67,0.1652048701906148,0.11068726302771192
1950-05-20,0.67,0.1269087856962345,0.08502888641647713
1950-05-25,0.67,0.0964642802500554,0.06463106776753713
1950-05-30,0.67,0.0727149315837817,0.04871900416113374
1950-06-04,0.67,0.0544602055303815,0.03648833770535561
1950-06-09,0.67,0.0405876494398609,0.027193725124706806
1950-06-14,0.67,0.0301361991491851,0.02019125342995402
1950-06-19,0.67,0.0223134386990323,0.01495000392835164
1950-06-24,0.67,0.0164867930257066,0.011046151327223423
1950-06-29,0.67,0.0121627151334091,0.008149019139384098
1950-07-04,0.67,0.0089624012533215,0.006004808839725405
1950-07-09,0.67,0.0065985448877129,0.004421025074767644
1950-07-14,0.67,0.0048551073100392,0.003252921897726264
1950-07-19,0.67,0.0035706571710266,0.002392340304587822
1950-07-24,0.67,0.0026251202566601,0.0017588305719622671
1950-07-29,0.67,0.001929483793753,0.0012927541418145101
1950-08-03,0.67,0.0014179235208198,0.0009500087589492661
1950-08-08,0.67,0.001041850646451,0.0006980399331221699
1950-08-13,0.67,0.0007654463320221,0.000512849042454807
1950-08-18,0.67,0.000562331158178,0.00037676187597926003
1950-08-23,0.67,0.0004130913726678,0.000276771219687426
1950-08-28,0.67,0.0003034470300288,0.00020330951011929602
1950-09-02,0.67,0.0001999999999999,0.000133999999999933
1950-09-07,0.67,0.0001999999999999,0.000133999999999933
1950-09-12,0.67,0.0001999999999999,0.000133999999999933
1950-09-17,0.67,0.0001999999999999,0.000133999999999933
1950-09-22,0.67,0.0001999999999999,0.000133999999999933
1950-09-27,0.67,0.0001999999999999,0.000133999999999933
1950-10-02,0.67,0.0001999999999999,0.000133999999999933
1950-10-07,0.67,0.0001999999999999,0.000133999999999933
1950-10-12,0.67,0.0001999999999999,0.000133999999999933
1950-10-17,0.67,0.0001999999999999,0.000133999999999933
1950-10-22,0.67,0.0001999999999999,0.000133999999999933
1950-10-27,0.67,0.0001999999999999,0.000133999999999933
1950-11-01,0.67,0.0001999999999999,0.000133999999999933
1950-11-06,0.67,0.0001999999999999,0.000133999999999933
1950-11-11,0.67,0.0001999999999999,0.000133999999999933
1950-11-16,0.67,0.0001999999999999,0.000133999999999933
1950-11-21,0.67,0.0001999999999999,0.000133999999999933
1950-11-26,0.67,0.0001999999999999,0.000133999999999933
1950-12-01,0.67,0.0001999999999999,0.000133999999999933
1950-12-06,0.67,0.0001999999999999,0.000133999999999933
1950-12-11,0.67,0.0001999999999999,0.000133999999999933
1950-12-16,0.67,0.0001999999999999,0.000133999999999933
1950-12-21,0.67,0.0001999999999999,0.000133999999999933
1950-12-26,0.67,0.0001999999999999,0.000133999999999933
1950-12-31,0.67,0.0001999999999999,0.000133999999999933
1951-01-05,0.67,0.0001999999999999,0.000133999999999933
1951-01-10,0.67,0.0001999999999999,0.000133999999999933
1951-01-15,0.67,0.0001999999999999,0.000133999999999933
1951-01-20,0.67,0.0001999999999999,0.000133999999999933
1951-01-25,0.67,0.0001999999999999,0.000133999999999933
1951-01-30,0.67,0.0001999999999999,0.000133999999999933
1951-02-04,0.67,0.0001999999999999,0.000133999999999933
1951-02-09,0.67,0.0001999999999999,0.000133999999999933
1951-02-14,0.67,0.0001999999999999,0.000133999999999933
1951-02-19,0.67,0.0001999999999999,0.000133999999999933
1951-02-24,0.6,0.0001999999999999,0.00011999999999993999
1951-03-01,0.6,0.0,0.0
1951-03-06,0.6,0.9370266439430036,0.5622159863658022
1951-03-11,0.6,0.9161713496490084,0.549702809789405
1951-03-16,0.6,0.889225784392806,0.5335354706356835
1951-03-21,0.6,0.8549898322377053,0.5129938993426232
1951-03-26,0.6,0.8124051044248047,0.4874430626548828
1951-03-31,0.6,0.7608131695210789,0.4564879017126473
1951-04-05,0.6,0.7002673811769148,0.42016042870614884
1951-04-10,0.6,0.6318124177361018,0.37908745064166105
1951-04-15,0.6,0.5576002866917077,0.3345601720150246
1951-04-20,0.6,0.4807238441660136,0.28843430649960816
1951-04-25,0.6,0.4047494234836476,0.24284965409018855
1951-04-30,0.6,0.3330803738665238,0.19984822431991425
1951-05-05,0.6,0.2683800439742322,0.1610280263845393
1951-05-10,0.6,0.2122478906161481,0.12734873436968885
1951-05-15,0.6,0.1652048701906148,0.09912292211436888
1951-05-20,0.6,0.1269087856962345,0.0761452714177407
1951-05-25,0.6,0.0964642802500554,0.05787856815003324
1951-05-30,0.6,0.0727149315837817,0.04362895895026902
1951-06-04,0.6,0.0544602055303815,0.032676123318228896
1951-06-09,0.6,0.0405876494398609,0.02435258966391654
1951-06-14,0.6,0.0301361991491851,0.01808171948951106
1951-06-19,0.6,0.0223134386990323,0.013388063219419379
1951-06-24,0.6,0.0164867930257066,0.00989207581542396
1951-06-29,0.6,0.0121627151334091,0.00729762908004546
1951-07-04,0.6,0.0089624012533215,0.005377440751992899
1951-07-09,0.6,0.0065985448877129,0.00395912693262774
